Tempo,Fluxo,RPM,Corrente,Tensao
2024-12-05 17:53:27.880310,0.0,0,29.45,1165.0
2024-12-05 17:53:30.885548,0.0,0,8.76,342.0
2024-12-05 17:53:33.890489,0.0,0,3.98,152.0
2024-12-05 17:53:36.895472,0.0,0,3.28,124.0
2024-12-05 17:53:39.890776,0.0,0,3.23,122.0
2024-12-05 17:53:51.988347,0.0,0,3.23,122.0
2024-12-05 17:54:01.059601,0.0,0,3.18,120.0
2024-12-05 17:54:07.073283,0.0,0,3.19,120.0
2024-12-05 17:54:10.078347,0.0,0,3.2,121.0
2024-12-05 17:54:19.194031,0.0,0,3.17,119.0
2024-12-05 17:54:25.203176,0.0,0,3.27,123.0
2024-12-05 17:54:28.207137,0.0,0,3.21,121.0
2024-12-05 17:54:31.212795,0.0,0,3.23,122.0
2024-12-05 17:54:34.218664,0.0,0,3.23,122.0
2024-12-05 17:54:37.287844,0.0,0,3.2,120.0
2024-12-05 17:54:40.293661,0.0,0,3.22,121.0
2024-12-05 17:54:43.300204,0.0,0,3.21,121.0
2024-12-05 17:54:46.304026,0.0,0,3.21,121.0
2024-12-05 17:54:49.313135,0.0,0,3.2,121.0
2024-12-05 17:54:52.441419,0.0,0,3.23,122.0
2024-12-05 17:54:55.446440,0.0,0,3.18,120.0
2024-12-05 17:54:58.451778,0.0,0,3.18,120.0
2024-12-05 17:55:01.459664,0.0,0,3.22,121.0
2024-12-05 17:55:04.464651,0.0,0,3.24,122.0
2024-12-05 17:55:07.468729,0.0,0,3.21,121.0
2024-12-05 17:55:10.475826,0.0,0,3.17,119.0
2024-12-05 17:55:13.480752,0.0,0,3.18,120.0
2024-12-05 17:55:16.485848,0.0,0,3.21,121.0
2024-12-05 17:55:28.903797,0.0,0,3.19,120.0
2024-12-05 17:55:31.907834,0.0,0,3.19,120.0
2024-12-05 17:55:34.911321,0.0,0,3.18,120.0
2024-12-05 17:55:43.931083,0.0,0,3.19,120.0
