Tempo,Fluxo,RPM,Corrente,Tensao
2024-12-06 19:53:15.574293,0.13,7,8.84,345.0
2024-12-06 19:53:18.579099,0.0,0,3.95,151.0
2024-12-06 19:53:21.566951,0.0,0,3.19,120.0
2024-12-06 19:53:24.572204,1.49,0,3.21,121.0
2024-12-06 19:53:27.542713,3.92,0,3.19,120.0
2024-12-06 19:53:30.562273,4.05,0,3.14,118.0
2024-12-06 19:53:33.564921,4.05,0,3.18,120.0
2024-12-06 19:53:36.550105,4.73,67,3.17,119.0
2024-12-06 19:53:39.553971,6.48,570,3.16,119.0
2024-12-06 19:53:48.630592,5.0,397,3.16,119.0
2024-12-06 19:54:03.720572,5.26,405,3.26,123.0
2024-12-06 19:54:06.741045,5.26,397,3.21,121.0
2024-12-06 19:54:09.760701,5.26,397,3.21,121.0
2024-12-06 19:54:12.813090,5.13,397,3.18,120.0
2024-12-06 19:54:18.926595,5.26,337,3.22,121.0
2024-12-06 19:54:21.846400,5.26,225,3.2,121.0
2024-12-06 19:54:24.870066,5.26,225,3.2,121.0
2024-12-06 19:54:27.930162,5.26,232,3.23,122.0
2024-12-06 19:54:30.931918,5.13,225,3.2,121.0
2024-12-06 19:54:33.937982,5.4,225,3.19,120.0
2024-12-06 19:54:36.950248,5.13,225,3.19,120.0
2024-12-06 19:54:39.976400,5.26,322,3.28,124.0
2024-12-06 19:54:42.991475,5.26,397,3.21,121.0
2024-12-06 19:54:47.216478,5.26,412,3.2,121.0
2024-12-06 19:54:49.209493,5.26,420,3.27,123.0
2024-12-06 19:54:52.215975,5.13,420,3.2,120.0
2024-12-06 19:54:55.222325,5.26,420,3.25,123.0
2024-12-06 19:54:58.229736,5.26,412,3.24,122.0
2024-12-06 19:55:04.239894,5.26,322,3.24,122.0
2024-12-06 19:55:07.245212,5.26,240,3.22,122.0
2024-12-06 19:55:10.251555,5.26,225,3.21,121.0
2024-12-06 19:55:16.263385,5.13,397,3.2,121.0
2024-12-06 19:55:22.275077,5.26,405,3.22,121.0
2024-12-06 19:55:31.327715,5.26,240,3.26,123.0
2024-12-06 19:55:34.399656,5.26,232,3.21,121.0
2024-12-06 19:55:37.405814,5.26,270,3.24,122.0
2024-12-06 19:55:40.411015,5.26,375,3.2,121.0
2024-12-06 19:55:43.418357,5.13,405,3.21,121.0
2024-12-06 19:55:46.433098,5.26,405,3.24,122.0
2024-12-06 19:55:49.465993,5.26,427,3.32,126.0
2024-12-06 19:55:52.476171,5.0,375,3.37,127.0
2024-12-06 19:55:58.552639,5.13,382,3.29,124.0
2024-12-06 19:56:01.545753,5.0,315,3.23,122.0
2024-12-06 19:56:07.631027,5.13,210,3.28,124.0
2024-12-06 19:56:13.703488,5.13,277,3.2,120.0
2024-12-06 19:56:31.784418,5.13,352,3.27,124.0
2024-12-06 19:56:34.789634,5.0,240,3.26,123.0
2024-12-06 19:56:40.811050,4.86,210,3.24,122.0
2024-12-06 19:56:49.874132,5.13,360,3.26,123.0
2024-12-06 19:56:52.995461,5.13,367,3.25,123.0
2024-12-06 19:57:02.011641,5.0,210,3.31,125.0
2024-12-06 19:57:05.017907,4.86,195,3.26,123.0
2024-12-06 19:57:11.028653,5.26,217,3.27,123.0
2024-12-06 19:57:20.082953,5.53,255,3.28,124.0
2024-12-06 19:57:23.134222,5.53,247,3.27,123.0
2024-12-06 19:57:26.139082,5.4,247,3.22,121.0
2024-12-06 19:57:29.146651,5.53,247,3.28,124.0
2024-12-06 19:57:32.379676,5.53,247,3.24,122.0
2024-12-06 19:57:35.385821,5.53,262,3.18,120.0
2024-12-06 19:57:38.393564,5.67,262,3.25,122.0
2024-12-06 19:57:44.403192,5.53,270,3.26,123.0
2024-12-06 19:57:47.407531,5.53,277,3.24,122.0
2024-12-06 19:58:05.448545,5.67,277,3.25,122.0
2024-12-06 19:58:14.537287,5.67,262,3.18,120.0
2024-12-06 19:58:17.538939,4.05,202,3.24,122.0
