Tempo,Fluxo,RPM,Corrente,Tensao
2024-12-02 17:48:13.677392,0.0,0,4.71,209.0
2024-12-02 17:48:16.683515,0.0,307,1.8,77.0
2024-12-02 17:48:19.047191,0.0,112,0.9,36.0
2024-12-02 17:48:21.692991,0.0,135,0.46,15.0
2024-12-02 17:48:24.701150,0.0,180,0.17,2.0
2024-12-02 17:48:27.705094,0.0,90,0.05,0.0
2024-12-02 17:48:30.710192,0.0,105,0.0,0.0
2024-12-02 17:48:33.716570,0.0,127,0.0,0.0
2024-12-02 17:48:36.721013,0.0,187,0.0,0.0
2024-12-02 17:48:39.725162,0.0,195,0.0,0.0
2024-12-02 17:48:48.047639,0.0,60,0.0,0.0
2024-12-02 17:48:51.052639,0.0,15,0.0,0.0
2024-12-02 17:48:54.066866,0.0,52,0.0,0.0
2024-12-02 17:49:19.579262,0.13,7,0.0,0.0
2024-12-02 17:49:22.236551,3.38,75,0.0,0.0
2024-12-02 17:49:25.046682,0.0,0,0.0,0.0
2024-12-02 17:49:27.968170,0.0,0,0.0,0.0
2024-12-02 17:49:30.711337,1.89,15,0.0,0.0
2024-12-02 17:49:44.723069,5.4,510,0.0,0.0
2024-12-02 17:49:50.217013,2.7,355,0.0,0.0
2024-12-05 17:48:27.895208,0.0,0,29.51,1168.0
2024-12-05 17:48:30.901823,0.0,0,8.76,342.0
2024-12-05 17:48:33.905800,0.0,0,3.98,151.0
2024-12-05 17:48:36.911261,0.0,0,3.32,125.0
2024-12-05 17:48:39.915883,0.0,0,3.19,120.0
2024-12-05 17:48:42.921924,0.0,0,3.31,125.0
2024-12-05 17:48:45.925398,0.0,0,3.2,120.0
2024-12-05 17:48:48.930343,0.0,0,3.18,120.0
2024-12-05 17:48:51.936540,0.0,0,3.23,122.0
2024-12-05 17:48:54.941393,0.0,0,3.2,121.0
2024-12-05 17:48:57.946249,0.0,0,3.28,124.0
2024-12-05 17:49:00.950487,0.0,0,3.21,121.0
2024-12-05 17:49:03.955705,0.0,0,3.19,120.0
2024-12-05 17:49:06.960617,0.0,0,3.18,120.0
2024-12-05 17:49:09.965912,0.0,0,3.2,121.0
2024-12-05 17:49:16.434302,0.0,0,3.22,121.0
2024-12-05 17:49:19.440005,0.0,0,3.21,121.0
2024-12-05 17:49:22.422355,0.0,0,3.25,123.0
2024-12-05 17:49:25.437883,0.0,0,3.28,124.0
2024-12-05 17:49:28.445956,0.0,0,3.16,118.0
2024-12-05 17:49:31.443034,0.0,0,3.19,120.0
2024-12-05 17:49:34.447667,0.0,0,3.22,121.0
2024-12-05 17:49:37.441469,0.0,0,3.16,119.0
2024-12-05 17:49:40.311456,0.13,0,3.5,133.0
2024-12-05 17:49:43.317315,1.62,7,3.54,134.0
2024-12-05 17:49:46.323635,4.73,150,3.54,134.0
2024-12-05 17:49:49.328920,4.59,270,3.72,142.0
2024-12-05 17:49:52.332116,4.73,300,3.56,135.0
2024-12-05 17:49:55.336371,4.86,307,3.48,132.0
2024-12-05 17:49:58.340816,4.86,277,3.52,133.0
2024-12-05 17:50:01.344267,4.73,217,3.39,128.0
2024-12-05 17:50:04.349948,4.73,292,3.45,131.0
2024-12-05 17:50:07.354928,4.86,322,3.43,130.0
2024-12-05 17:50:16.426963,0.0,0,3.2,121.0
2024-12-05 17:50:19.432114,0.0,0,3.23,122.0
2024-12-05 17:50:31.523280,0.0,0,3.26,123.0
2024-12-05 17:50:34.528060,0.0,0,3.28,124.0
2024-12-05 17:50:37.534957,0.0,0,3.34,126.0
2024-12-05 17:50:58.709873,0.0,0,3.25,123.0
2024-12-05 17:51:04.703591,0.0,0,3.16,119.0
2024-12-05 17:51:19.803275,4.86,300,3.52,134.0
2024-12-05 17:51:23.035980,4.86,307,3.51,133.0
2024-12-05 17:51:26.040439,5.0,292,3.53,134.0
2024-12-05 17:51:29.047237,4.86,315,3.42,130.0
2024-12-05 17:51:32.052961,4.86,307,3.47,131.0
2024-12-05 17:51:35.059291,4.86,292,3.6,137.0
2024-12-05 17:51:38.065014,4.86,210,3.52,133.0
2024-12-05 17:51:41.069832,5.0,180,3.59,136.0
2024-12-05 17:51:44.074504,4.86,187,3.49,132.0
2024-12-05 17:51:47.078930,4.86,172,3.61,137.0
2024-12-05 17:51:50.083428,4.86,180,3.4,129.0
2024-12-05 17:51:53.088065,4.86,187,3.63,138.0
2024-12-05 17:51:56.094430,5.67,225,3.58,136.0
2024-12-05 17:51:59.100068,7.16,420,3.57,135.0
2024-12-05 17:52:02.104028,7.16,450,3.56,135.0
2024-12-05 17:52:05.433389,7.7,435,3.68,140.0
2024-12-05 17:52:08.439914,7.02,427,3.54,135.0
2024-12-05 17:52:11.437052,7.7,427,3.54,134.0
2024-12-05 17:52:14.442416,7.16,427,3.46,131.0
2024-12-05 17:52:17.429963,7.29,450,3.51,133.0
2024-12-05 17:52:23.326525,8.23,427,3.58,136.0
2024-12-05 17:52:26.331025,6.61,390,3.53,134.0
2024-12-05 17:52:29.336646,4.86,195,3.59,136.0
2024-12-05 17:52:32.341589,5.13,217,3.66,139.0
2024-12-05 17:52:35.346104,4.86,285,3.45,131.0
2024-12-05 17:52:38.352578,5.0,315,3.65,139.0
2024-12-05 17:52:41.418833,1.08,97,3.32,125.0
